ID,REFERENCIA,BIBLIOGRAFÍA,AUTOR,TÍTULO,FECHA,CRITERIO,BLOQUE,MEDIO,SOPORTE,TEMA,PAÍS,ZONA,TIPOLOGÍA,NOTAS,CONCORDANCIA
277,Propercio,"Rico, Francisco: «Antiguos y modernos». Los discursos del gusto. Notas sobre clásicos y contemporáneos. Barcelona: Destino, 2003.","Rico, Francisco",Los discursos del gusto. Notas sobre clásicos y contemporáneos,2003,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,Académico,Texto perteneciente a la colección de trabajos del autor escritos en años anteriores al 2003. El texto contiene citas ajenas al autor.,": la ineludible búsqueda en los clásicos de una genealogía de la modernidad, de las modernidades, no debe ocultarnos que nuestra cultura, el horizonte de ideas y palabras en que nos sentimos a gusto, se ha hecho tanto con los clásicos como contra los clásicos. Que la Eneida fuera una obra maestra (y Propercio atestigua que lo era antes incluso de ser escrita...) no quiere decir que lo siga siendo: puede serlo o no serlo, T.S. Eliot y W.H. Auden tienen igualmente razón. Comprender no es amar. Pero el amor no tiene por qué ser ciego. Ni temamos provocar la discusión: en el disentimiento"
122,Propercio,"Gil, Juan: El burlador y sus estragos. Madrid: Real Academia Española, 2011.","Gil, Juan",El burlador y sus estragos,2011,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,Académico,El texto contiene citas ajenas al autor,"en la epopeya romana. De Dido solo se sabe que era forma pulcherrima; de la Medea de Valerio Flacco, que se asemejaba a Prosérpina; y nada más. Otro tanto ocurre en la elegía amorosa: la figura de Lesbia es inasible en Catulo, un poeta más de sentimientos que de descripciones. Tampoco los versos de Propercio permiten reconstruir el rostro de Cintia, y eso que pasar una sola noche con aquella beldad hacía al vate sentirse igual a un dios. Merced a este silencio, cada cual puede imaginar a su capricho las gracias y encantos de la heroína: la fantasía supera con creces la realidad."
221,Lucano,"Muñoz Machado, Santiago; Sánchez Ron, Manuel: Los itinerarios de la libertad de palabra. Madrid: Real Academia Española, 2013.","Muñoz Machado, Santiago; Sánchez Ron, Manuel",Los itinerarios de la libertad de palabra,2013,Primera edición,No ficción,Escrito,Libro,"Política, economía y justicia",España,,Académico,,"aquellos autores en la literatura americana del XVIII, constatando cómo, entre los griegos, están todos los escritores importantes (Homero, Sófocles, Platón, Eurípides, Heródoto, Tucídides, Jenofonte, Estrabón, Aristóteles.), y que lo mismo ocurrió con los romanos (Cicerón, Horacio, Virgilio, Tácito, Lucano, Séneca, Tito Livio, César.). Aunque no siempre las citas parecen reflejar un conocimiento preciso de las obras. E incluso algunos políticos e intelectuales americanos que las habían leído de verdad y en profundidad mostraron su desencanto sobre la calidad y vigencia de determinados autores (Jefferson y John Adams declararon su desilusión respecto de obras de"
82,Lucano,"Egido, Aurora: La búsqueda de la inmortalidad en las obras de Baltasar Gracián. Madrid: Real Academia Española, 2014.","Egido, Aurora",La búsqueda de la inmortalidad en las obras de Baltasar Gracián,2014,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,Académico,"El texto contiene citas ajenas al autor, así como léxico y estructuras propias del Siglo de Oro español.","Muchos habían sido los que anteriormente volaron a ella, incluidos ""los mismos españoles, Lucano, Quintiliano, ambos Sénecas cordobeses, Liciano y Marcial bilbilitanos"". Pero además Roma era término de la tierra y entrada católica del cielo. Presupuesto, este, que incardinaba al autor en la más pura ortodoxia, aunque luego él no elevará anagógicamente la peregrinación de Andrenio y Critilo."
303,Cicerón,"Rojo, Guillermo: El lugar de la sintaxis en las primeras gramáticas de la Academia. Madrid: Real Academia Española, 2001.","Rojo, Guillermo",El lugar de la sintaxis en las primeras gramáticas de la Academia,2001,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,Académico,El texto contiene citas ajenas al autor,"actualidad. Reduciéndonos al punto concreto que nos ocupa ahora, considera que construcción debe referirse simplemente a la ordenación lineal de las palabras en la secuencia, mientras que la sintaxis consiste en el conjunto de relaciones de diversos tipos que las palabras mantienen entre sí. Con un ejemplo realmente clarificador, indica que en el ciceroniano accepi lateras tuas, tuas accepi litteras y litteras accepi tuas existen tres construcciones distintas puesto que encontramos tres ordenaciones lineales diferentes, pero no hay más que una sintaxis en tanto que las relaciones entre las palabras son las mismas en las tres secuencias."
303,Cicerón,"Rojo, Guillermo: El lugar de la sintaxis en las primeras gramáticas de la Academia. Madrid: Real Academia Española, 2001.","Rojo, Guillermo",El lugar de la sintaxis en las primeras gramáticas de la Academia,2001,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,Académico,El texto contiene citas ajenas al autor,(e1) nombres propios con de (las obras de Cicerón muestran su eloqüencia);
303,Cicerón,"Rojo, Guillermo: El lugar de la sintaxis en las primeras gramáticas de la Academia. Madrid: Real Academia Española, 2001.","Rojo, Guillermo",El lugar de la sintaxis en las primeras gramáticas de la Academia,2001,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,Académico,El texto contiene citas ajenas al autor,"de un sustantivo con otro sustantivo en genitivo (con la preposición de, por tanto), aparece tanto entre los casos de régimen como entre los de construcción. Reitera, además, el lapsus de la edición de 1771, que alude a la posibilidad de combinar un sustantivo común con un sustantivo propio (las obras de Cicerón) después de haber utilizado un ejemplo como el hijo de Pedro para la combinación de un sustantivo con otro."
155,Cicerón,"Him Fábrega, Rodrigo: Configuraciones simbólicas: Estudios sobre la novela panameña de la fase vanguardista. Panamá: Editorial Mariano Arosemena, 2002.","Him Fábrega, Rodrigo",Configuraciones simbólicas: Estudios sobre la novela panameña de la fase vanguardista,2002,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",Panamá,México y Centroamérica,Académico,,"postas. Las obras rescatables del período vanguardista temprano (en particular, las de Méndez Pereira y Sosa) expresan el conflicto de origen romántico entre el individuo y la maquinaria social, que termina venciéndolo. De este modo, el díscolo Balboa es decapitado junto a cuatro de sus compañeros, y su cabeza sangrante -nuevo Cicerón- es colocada en una pica para que sirva de espectáculo al pueblo (TD40). Igualmente trágico es el destino de Gabriela Ocampo, la dulce heroína del relato sosiano, desquiciada tras hallar en la prisión de Las Bóvedas el cuerpo sin vida de su amado Daniel (TSV30)."
155,Cicerón,"Him Fábrega, Rodrigo: Configuraciones simbólicas: Estudios sobre la novela panameña de la fase vanguardista. Panamá: Editorial Mariano Arosemena, 2002.","Him Fábrega, Rodrigo",Configuraciones simbólicas: Estudios sobre la novela panameña de la fase vanguardista,2002,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",Panamá,México y Centroamérica,Académico,,"humanismo, progreso, estudio, entre muchos otros). Hipónimos singulares de la idea de escuela (escuelas por antonomasia) lo son, en retrospectiva, el Instituto Nacional (IN), la Escuela Normal de Santiago (ENS) y la Universidad de Panamá (UP), las tres scholae -en el sentido ciceroniano del término- que alcanzan figuración de primer plano en nuestros datos. Los pasajes pertinentes se revisan abajo."
241,Cicerón,"Pascual, José Antonio: La historia como pretexto. Madrid: Real Academia Española, 2002.","Pascual, José Antonio",La historia como pretexto,2002,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,Académico,El texto contiene citas ajenas al autor. Se han eliminado los fragmentos en verso,"(F. Rico 1993: 38). En este último, acuñado sobre la base de jurista, se cruzan diferentes sentidos, designando en principio a quienes se ocupaban de las letras humanas, por contraste con las divinas (D. Ynduráin 1994: 59); en ello puede verse un eco de la humanitas ciceroniana, que supone «tanto un comportamiento correcto en las relaciones sociales como un cierto tipo de formación intelectual», correspondiente a la del «orator, pues la cualidad específica del hombre es la palabra» (id.: 60). Y, sin embargo, humanismo se emplea preferentemente en la actualidad, como"
